Judge9	Falcon	https://youtu.be/SBg8wYRp_Hk	5.75	11/23	x		Pichu	TRUE	TRUE	$2	0
Gibrani	Pika	https://youtu.be/L8TRm90TUTg	5.26	11/23	x		Pichu	TRUE	TRUE	$2	0
